##$Cal_Date  Probability
 -2409.5            0
 -2404.5            0
 -2399.5     8.95E-09
 -2394.5     1.79E-08
 -2389.5     8.95E-09
 -2384.5     8.95E-09
 -2379.5            0
 -2374.5            0
 -2369.5            0
 -2364.5            0
 -2359.5            0
 -2354.5            0
 -2349.5            0
 -2344.5     8.95E-09
 -2339.5     3.58E-08
 -2334.5     1.07E-07
 -2329.5     2.60E-07
 -2324.5     1.70E-07
 -2319.5     6.27E-08
 -2314.5     8.95E-08
 -2309.5     4.48E-08
 -2304.5     1.88E-07
 -2299.5     1.43E-07
 -2294.5     4.30E-07
 -2289.5   2.2826E-06
 -2284.5  0.000017348
 -2279.5   0.00003775
 -2274.5   0.00010546
 -2269.5   0.00025966
 -2264.5    0.0003344
 -2259.5    0.0003344
 -2254.5    0.0001274
 -2249.5   0.00007884
 -2244.5  0.000013364
 -2239.5  0.000019442
 -2234.5  0.000011628
 -2229.5   0.00003723
 -2224.5   0.00012698
 -2219.5   0.00006335
 -2214.5  0.000023873
 -2209.5    0.0000714
 -2204.5   0.00026208
 -2199.5    0.0013207
 -2194.5     0.003678
 -2189.5     0.006112
 -2184.5     0.006829
 -2179.5     0.006286
 -2174.5     0.004694
 -2169.5     0.003903
 -2164.5    0.0028154
 -2159.5    0.0022923
 -2154.5    0.0014438
 -2149.5    0.0026325
 -2144.5     0.003841
 -2139.5     0.006553
 -2134.5     0.008623
 -2129.5     0.007814
 -2124.5     0.006697
 -2119.5     0.005886
 -2114.5     0.004686
 -2109.5     0.003719
 -2104.5     0.003526
 -2099.5     0.004066
 -2094.5     0.005379
 -2089.5     0.006413
 -2084.5     0.007876
 -2079.5      0.00842
 -2074.5     0.008951
 -2069.5       0.0086
 -2064.5     0.008636
 -2059.5     0.008478
 -2054.5     0.008268
 -2049.5     0.007905
 -2044.5     0.007204
 -2039.5     0.005718
 -2034.5     0.003813
 -2029.5    0.0017528
 -2024.5    0.0007136
 -2019.5    0.0004059
 -2014.5   0.00020804
 -2009.5   0.00009837
 -2004.5   0.00004734
 -1999.5   0.00009076
 -1994.5   0.00020804
 -1989.5    0.0004391
 -1984.5    0.0005527
 -1979.5   0.00024873
 -1974.5   0.00005204
 -1969.5   0.00004837
 -1964.5   0.00004837
 -1959.5   0.00004042
 -1954.5  0.000018896
 -1949.5  0.000011261
 -1944.5  0.000004762
 -1939.5   1.3338E-06
 -1934.5     1.70E-07
 -1929.5     4.74E-07
 -1924.5     4.03E-07
 -1919.5     2.60E-07
 -1914.5     1.25E-07
 -1909.5     8.06E-08
 -1904.5     5.37E-08
 -1899.5     4.48E-08
 -1894.5     2.69E-08
 -1889.5     8.95E-09
 -1884.5            0
 -1879.5            0
