##Cal_Date  Probability
 -2284.5            0
 -2279.5            0
 -2274.5            0
 -2269.5     3.04E-08
 -2264.5     4.05E-08
 -2259.5     4.05E-08
 -2254.5            0
 -2249.5            0
 -2244.5            0
 -2239.5            0
 -2234.5            0
 -2229.5            0
 -2224.5     1.01E-08
 -2219.5            0
 -2214.5            0
 -2209.5            0
 -2204.5     2.03E-08
 -2199.5     7.90E-07
 -2194.5  0.000007901
 -2189.5    0.0000428
 -2184.5   0.00005943
 -2179.5   0.00004786
 -2174.5  0.000016754
 -2169.5  0.000012641
 -2164.5  0.000004335
 -2159.5   2.5324E-06
 -2154.5     5.98E-07
 -2149.5   3.1199E-06
 -2144.5  0.000008985
 -2139.5   0.00007613
 -2134.5    0.0005261
 -2129.5    0.0016198
 -2124.5    0.0026533
 -2119.5     0.003432
 -2114.5     0.004663
 -2109.5     0.005891
 -2104.5     0.006092
 -2099.5     0.005503
 -2094.5     0.003953
 -2089.5    0.0028901
 -2084.5    0.0015995
 -2079.5    0.0010394
 -2074.5    0.0006032
 -2069.5    0.0007765
 -2064.5    0.0006667
 -2059.5    0.0009679
 -2054.5    0.0012962
 -2049.5    0.0015576
 -2044.5    0.0021807
 -2039.5     0.003601
 -2034.5     0.005662
 -2029.5      0.00871
 -2024.5     0.010129
 -2019.5     0.009699
 -2014.5     0.009372
 -2009.5     0.007846
 -2004.5     0.006696
 -1999.5     0.007423
 -1994.5     0.009372
 -1989.5     0.009757
 -1984.5     0.009869
 -1979.5     0.009612
 -1974.5     0.007135
 -1969.5     0.006477
 -1964.5     0.006477
 -1959.5     0.005872
 -1954.5     0.005213
 -1949.5     0.003922
 -1944.5    0.0027667
 -1939.5    0.0016734
 -1934.5     0.000793
 -1929.5    0.0009423
 -1924.5     0.000801
 -1919.5    0.0005872
 -1914.5    0.0003941
 -1909.5    0.0003063
 -1904.5   0.00025755
 -1899.5   0.00021564
 -1894.5   0.00014925
 -1889.5   0.00006126
 -1884.5  0.000011983
 -1879.5   1.1244E-06
 -1874.5     6.08E-08
 -1869.5     2.03E-08
 -1864.5     1.01E-08
 -1859.5            0
 -1854.5            0
 -1849.5            0
 -1844.5     1.01E-08
 -1839.5     1.42E-07
 -1834.5     7.29E-07
 -1829.5     5.47E-07
 -1824.5     2.23E-07
 -1819.5     1.01E-07
 -1814.5     4.05E-08
 -1809.5     1.01E-08
 -1804.5     1.01E-08
 -1799.5     2.03E-08
 -1794.5     7.09E-08
 -1789.5     1.92E-07
 -1784.5     2.23E-07
 -1779.5     9.12E-08
 -1774.5     1.01E-08
 -1769.5            0
 -1764.5            0
