### parent date of death - child date of death (BP)  (or BCE) 
-98       0
-83     584
-78    1193
-73    3317
-68    8907
-63   20221
-58   38465
-53   62550
-48   86994
-43  110663
-38  129282
## manually corrected
-33  143292
-28  154746
-23  165166
-18  181614
-13  202758
 -8  236037
 -3  292329
  2  409146
  7  344397
 12  404219
 17  466756
 22  533764
 27  573027
 32  586089
 37  558776
 42  508941
 47  435795
 52  361745
 57  290816
 62  226452
 67  172500
 72  124979
 77   83840
 82   51022
 87   26893
 92   12712
 97    6229
102       0
